address,balance
0xe2e09f07b65bcae3944e7d2830eb1cda6ce03b9d,211555892130523300000000
0x21f72a3e326a91921b13d1a98fbb144e44e84102,205394022114428700000000
0xeb26dfc043d3bd288c2569b37a804768d5fb5faa,200571773706136940000000
0x4e1763e8916e11b2dd6fdd70ab4aab31faff3c53,195720205868211480000000
0x40a09fd780272d7c36dff327837aac398d627693,194930069930069920000000
0x3d1f07ab1c332148819215c8f0748fbb64903d11,194930069930069920000000
0xbd8980fcc691808e81fdf63924f34332001b16e8,194861211000000000000000
0x0224e526554bb3c19832cfeedf1c26a34890128a,194861211000000000000000
0x677a1b5202adfae9de5256e445cba30a0478e449,194495600975592970000000
0xecd221609bce2c468ddc186a0ef806d35b1ebea8,192781407528395700000000
0x59b18d18b8e1411fe3f68868409247c79e1c58e2,169172941148800000000000
0xb05735f55d281faed6aeb1a8f9d868ff3541c1e3,167865072925325540000000
0x006541705ef9cc77042d99b569bae14ae8388cf6,162420299614324870000000
0x769d2f42978b1d150f4c3172fe57159e345a1be8,160870612655362130000000
0x85b104901d874c94f53c60b4233b3e8be10ba05a,157402731269447700000000
0x00d7cd5fe6f0150ac273571425b673c7caf14dc2,152909794170040730000000
0x1141a2881050320c927aa04d293530cd2db6870b,151676778726592570000000
0xc07d48013de48b5950b977f74f0475fda8b382c3,150163751145565000000000
0xc8caaf01b1f1ad419626c4a8a937aa99becafabf,148100305190568270000000
0x61d07f4dfec6b3073a387547843e9775f092442b,142265958577768470000000
0xc1b968e63be634e1d0c6351c68fed94f54b93a13,139862206805312930000000
0xafb087b2257d8e8a509dbd6e05f8c31b6b3ec4be,138845721840000000000000
0xeb17eb3a4e9459ca7fd0e835edbaf8f0ba1b30c8,137677429833476660000000
0xaeabe173e4f1bba4c3b4664ea206b0b77152d458,132221423829731500000000
0x5ef5be70a3c591f55a29a2d644cabb8e7f15850e,126086598171981700000000
0x73105112fada6412a375ed7bcd37b8b523a783ac,117665773836526750000000
0xdfd75664ad849fd424783fa9ee27738e6ef2a27a,114724354562255740000000
0xadd31cc41500bd29d658a80ef51e77b21f6bf9c1,109802789040120720000000
0x870ca5c4319f8e534e2b5eb3ef0d82d6d4279e5d,108784282088585590000000
0x552b185736d17966e3320f4b27f6326bacb4fc6c,105988833438753920000000
0x513ae4015edb9e7d6e8c752cb0253675540a5676,105151766433097420000000
0xa35a6a96e9b400c4ded39514d0e65773ca0a3607,102472635594509120000000
0x29128301a6781b2a3b92bd14a6fc8d5d215bad37,102018978590493190000000
0x2d5cf317f047e253ac6e146531e75b38e5f85082,99913407332252710000000
0x4526416fd85bdf61628a4042eb37b52674ce48c1,95934986819738690000000
0xd00463fb053557999d832b7f9c35459ef47db0c7,95622490741048710000000
0xe7c95ff408c38a96fee5dd3316eff52a99d9e8bf,92335830958692670000000
0x37aee7751c9acf790f35acd9446187b8ae091d48,91728455864234550000000
0x75f2d546faecfd3377922c80dfe79ef6102474c4,235192799081890260000000
0x26fa80e849ba28a0f07235a0b54a2ea6599fefb3,90508229394426200000000
0xcc9e50602a5086de3aae5ca48bc849f110cea9a3,90156015318283750000000
0x4efe20c04a075ed05ea4909fa74d506b40ff40c9,90098684341602460000000
0xf372a0b130054525a384ef72a478c249ec3bde99,88009827344876870000000
0xc8f579c015abc407e9ae6d36398ebba02f495a63,83763408592147750000000
0xaadba39f0692135f5a566b930fd73878a5560a2b,82338825068906250000000
0x7c1e74b13d8eb3fbc2dcb349daeb42890bead839,80085105314658100000000
0x3a6b2635f4dfd913fc34b3e0d2f51e0f223f7cda,77641486294647370000000
0x87063c7d3c2b6e4a96fc26672e227ca9fd17ca29,75828062591704650000000
0x116df489152b5417d9fa918383498b6fbf95029c,75575924945207600000000
0x9def74cbca2af865b2f9c623135c931c6226de3e,73497647035237880000000
0xf142b64401c588704bc714a4bf35e650c6ca356e,72760839160839170000000
0x1c89edadd9215f3623a5bf02f5bb0e990c627069,72061207413496420000000
0x351d7c5e2e2fc9f7ff2630166cfc6fda8876eef9,70928165127323600000000
0x7d30768791674d1d2852e8d674306939054d935c,70823387803863960000000
0xf38f3bc198eceb5f4a21b0d6ff24ace3f97a4e41,69947236182051780000000
0xaa2db1abcb03c5e6ca785e372a70ca965dfbf979,69312017000000000000000
0xbac89e5546c8a4f9e68e7d71f9dfd5d72c3d6024,68855570888618510000000
0x22d00e546ef6c0517ff96cc603c32847224dbda2,68449372000000000000000
0x7e7da68a7d2bf9d586563e25ec4986828188d679,68343963004286400000000
0xb8108d132cdc14695e2c2248387a041e99ff6acc,68126787939605830000000
0x52a6c99edf5a8b84ff658b80954b370edf2bc08a,66807561290173270000000
0x9e4074662b07b2864e45f959796fd68deeebafd4,65804684008063510000000
0xa7804bc65158b02817874dc8b457c71f040e3945,65289486108119380000000
0x099950694b7e53602624299ec70b37f896ad35e0,64968119645729910000000
0xda8ae3333f86fd7e9906e979abf336229a49f219,64565683330710080000000
0x752d447b4cbee1c2b55708afd7269af7c9ec74f9,63114686179261220000000
0x1ddd5a03259ed2094f97a917cdfb4dfc4afcf41e,62000596175095390000000
0x79cdb8174e097db3a391d29aefc988581456cf00,61979008934314960000000
0xcdd8829e819a0e1a6e3feb10e42284edf5165e45,60873277543949630000000
0x64b5ef118ff2e224e3066837151c470da07285fb,60029085069778330000000
0x228271d0ce7584a358333065e6aa5b7a9423d814,60000000000000000000000
0x1ce6d07ee9acdbfabad678745b50d0c236a705d1,59285070090514080000000
0x72966dafdf4dcc0b128fe4f8186a29027cdcff95,57600163419492420000000
0x91977d46d97e342c758f467f479d3cd6036f6a65,57267281455482766000000
0x10c00bfe152ff45d99bfb9a5da1859b67d007f0d,56725911527880624000000
0xb675b6996785dab61e806fef87f19f7213d4a63f,56113083829909824000000
0x69a4459dfb71552c189e3c017ca6576eeec87d57,56081552649395030000000
